fuente,L,arm,p,seed,primaria,ber_test,ber_test_final,ber_test_bnfix,ber_val,mejor_step,ber_top90,ber_top50,ber_tapados
markov,70,ladder_random,0.1,2,False,0.09970749914646149,0.10038720071315765,0.09926220029592514,0.10005220025777817,27000,0.06421378254890442,0.02076820097863674,0.11931044412581665
markov,70,ladder_random,0.25,2,False,0.0993076041340828,0.09979499876499176,0.09887219965457916,0.09935370087623596,27750,0.0650157779455185,0.0242794007062912,0.11774302896008863
markov,70,stacked_rbm,0.0,2,False,0.08827120065689087,0.09347890317440033,nan,0.08840960264205933,750,0.058572668582201004,0.03369760140776634,nan
markov,70,stacked_rbm,0.1,2,False,0.08832120150327682,0.09203720092773438,0.08837760239839554,0.08856859803199768,750,0.05868355557322502,0.033712200820446014,0.10759887293750163
markov,70,stacked_rbm,0.25,2,False,0.08829709887504578,0.09425050020217896,0.0883546993136406,0.08854430168867111,750,0.05867033451795578,0.03407420217990875,0.11066869586607284
markov,35,ladder_random,0.0,2,False,0.20075400173664093,0.2008005976676941,nan,0.20072130858898163,28500,0.17160166800022125,0.07911720126867294,nan
markov,35,ladder_random,0.1,2,False,0.19387879967689514,0.19383560121059418,0.19382889568805695,0.19383910298347473,28500,0.16455711424350739,0.076289601624012,0.21032734006451212
markov,35,ladder_random,0.25,2,False,0.17793799936771393,0.17803950607776642,0.17779220640659332,0.17835760116577148,29250,0.147592231631279,0.06960280239582062,0.19019584707409312
markov,35,stacked_rbm,0.0,2,False,0.17546939849853516,0.1849789023399353,nan,0.17584259808063507,750,0.147273451089859,0.08692099899053574,nan
markov,35,stacked_rbm,0.1,2,False,0.17599579691886902,0.1865765005350113,0.17613020539283752,0.17645689845085144,750,0.14794622361660004,0.08478200435638428,0.1868182081786022
markov,35,stacked_rbm,0.25,2,False,0.17109329998493195,0.17171630263328552,0.17393669486045837,0.17088469862937927,29250,0.14100533723831177,0.07278060168027878,0.19223811228458923
markov,250,ladder_random,0.0,3,True,0.013569300062954426,0.013569300062954426,nan,0.01354300044476986,30000,0.0015657778130844235,0.00017919999663718045,nan
markov,250,ladder_random,0.1,3,True,0.014248600229620934,0.014243099838495255,0.014239700511097908,0.014258500188589096,29250,0.001660666661337018,0.0001849999971454963,0.07421251679880897
markov,250,ladder_random,0.25,3,True,0.021560899913311005,0.021555399522185326,0.021560799330472946,0.02153719961643219,28500,0.003369666635990143,0.00037799999699927866,0.0733673397571244
markov,250,stacked_rbm,0.0,3,True,0.010785999707877636,0.010785999707877636,nan,0.01088619977235794,30000,0.0011318889446556568,0.00012419999984558672,nan
markov,250,stacked_rbm,0.1,3,True,0.011945700272917747,0.011939800344407558,0.011937900446355343,0.011955500580370426,29250,0.0016711110947653651,0.0001568000006955117,0.06529778230741945
markov,250,stacked_rbm,0.25,3,True,0.017310800030827522,0.017313500866293907,0.017316101118922234,0.017305700108408928,29250,0.0032364444341510534,0.00043200000072829425,0.06767054397481669
markov,125,ladder_random,0.0,3,False,0.0461152009665966,0.046257901936769485,nan,0.04611380025744438,29250,0.017921555787324905,0.005196600221097469,nan
markov,125,ladder_random,0.1,3,False,0.0440899021923542,0.044206999242305756,0.044211000204086304,0.044187501072883606,28500,0.015890778973698616,0.004232000093907118,0.07279766989903229
markov,125,ladder_random,0.25,3,False,0.04636570066213608,0.04636570066213608,0.046315502375364304,0.0463843010365963,30000,0.016135890036821365,0.005609800107777119,0.07654684440861453
markov,125,stacked_rbm,0.0,3,False,0.044575199484825134,0.04891759902238846,nan,0.044596001505851746,2250,0.01759355515241623,0.005056200083345175,nan
markov,125,stacked_rbm,0.1,3,False,0.04469349980354309,0.04613900184631348,0.04469370096921921,0.044789399951696396,2250,0.017644444480538368,0.005352600011974573,0.07763173013993595
markov,125,stacked_rbm,0.25,3,False,0.045425400137901306,0.04810409992933273,0.045471299439668655,0.04555800184607506,2250,0.01824033446609974,0.006258800160139799,0.08128511011299218
markov,70,ladder_random,0.0,3,False,0.1025451049208641,0.10295480489730835,nan,0.10274810343980789,27750,0.06598377972841263,0.01820960082113743,nan
markov,70,ladder_random,0.1,3,False,0.10208280384540558,0.10208380222320557,0.10113050043582916,0.10227770358324051,27750,0.06603222340345383,0.021666400134563446,0.12135109885443364
markov,70,ladder_random,0.25,3,False,0.10028260201215744,0.1005726009607315,0.0997036024928093,0.10061030089855194,29250,0.06575966626405716,0.024391600862145424,0.11805475578077214
