fuente,seed,L,rate,p,modo,vara,ber_test,ber_test_final,ber_test_bnfix,ber_val,mejor_step,ber_top90,ber_top50,ber_tapados
markov,1,250,0.5,0.1,mask,0.025,0.01381400041282177,0.013827700167894363,0.013832200318574905,0.013798300176858902,27750,0.0015788889722898602,0.00018099999579135329,0.07293734987990393
markov,1,250,0.5,0.25,mask,0.025,0.020473100244998932,0.020462799817323685,0.02047000080347061,0.02047489956021309,27750,0.0032451110891997814,0.00037140000495128334,0.07109031117026494
markov,1,250,0.5,0.5,mask,0.025,0.026889299973845482,0.026889899745583534,0.02688479982316494,0.026913899928331375,17250,0.00725011108443141,0.000700599979609251,0.08384289515614723
markov,1,70,0.14,0.0,mask,0.091,0.09974639862775803,0.10034409910440445,nan,0.10005220025777817,28500,0.06443111598491669,0.01828720048069954,nan
markov,1,70,0.14,0.1,mask,0.091,0.09852500259876251,0.09953299909830093,0.09775780141353607,0.098539799451828,27750,0.06343288719654083,0.02122100070118904,0.11861589271417133
markov,1,70,0.14,0.25,mask,0.091,0.10105089843273163,0.10117430239915848,0.10053879767656326,0.10117010027170181,25500,0.06688789278268814,0.024114400148391724,0.11769998354316795
markov,1,70,0.14,0.5,mask,0.091,0.10384330153465271,0.10405310243368149,0.10372120141983032,0.10407160222530365,27750,0.07077111303806305,0.02847439981997013,0.12055593651352156
markov,2,250,0.5,0.0,mask,0.025,0.01300210040062666,0.012970100156962872,nan,0.013006600551307201,29250,0.0014167778426781297,0.00017080000543501228,nan
markov,2,250,0.5,0.1,mask,0.025,0.0140174999833107,0.014018099755048752,0.01402289979159832,0.014024000614881516,28500,0.00161922222469002,0.00018560000171419233,0.07329205836887899
markov,2,250,0.5,0.25,mask,0.025,0.020419999957084656,0.020409099757671356,0.02042210102081299,0.02045600116252899,29250,0.0031924445647746325,0.00036380000528879464,0.07174326494451366
markov,2,250,0.5,0.5,mask,0.025,0.026521001011133194,0.026512300595641136,0.026513300836086273,0.02655719965696335,26250,0.007119111251085997,0.0008077999809756875,0.08348513241643023
markov,2,70,0.14,0.0,mask,0.091,0.10127050429582596,0.10161919891834259,nan,0.10135269910097122,28500,0.06502844393253326,0.017545800656080246,nan
markov,2,70,0.14,0.1,mask,0.091,0.09970749914646149,0.10038720071315765,0.09926220029592514,0.10005220025777817,27000,0.06421378254890442,0.02076820097863674,0.11931044412581665
markov,2,70,0.14,0.25,mask,0.091,0.0993076041340828,0.09979499876499176,0.09887219965457916,0.09935370087623596,27750,0.0650157779455185,0.0242794007062912,0.11774302896008863
markov,2,70,0.14,0.5,mask,0.091,0.10423490405082703,0.10456780344247818,0.10422660410404205,0.10429120063781738,24750,0.07140877842903137,0.028790799900889397,0.12078164253968876
